This file was created by CMPT_VAR_RETS using the 202211 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on VAR.

The portfolios are constructed at the end of each month.

The residual return variance is measured over 60 days up to formation monthend requiring at least 20 non-missing daily returns.  
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196307,    0.47,   -1.36,   -0.60,   -0.32,   -1.37,    0.33,    0.95,   -1.17,   -1.64,   -0.07,   -1.45,    0.93,   -2.32,   -1.25,   -1.48
196308,    4.66,    6.55,    5.60,    6.54,    7.80,    4.26,    6.21,    6.26,    6.91,    5.77,    5.29,    6.48,    6.63,   10.25,    5.26
196309,   -0.76,   -1.80,   -2.09,   -2.45,   -2.37,   -0.32,   -2.24,   -2.01,   -1.52,   -1.67,   -2.51,   -3.66,   -0.38,   -2.54,   -2.18
196310,    3.20,    2.33,    1.81,    2.55,    2.86,    4.11,    0.86,    1.86,    2.85,    1.57,    2.06,    1.92,    3.69,    4.57,    1.36
196311,   -0.34,   -1.18,   -0.28,   -0.89,   -1.32,   -0.08,   -0.85,   -0.74,   -1.72,   -0.85,    0.39,   -0.85,   -0.93,   -0.23,   -2.26
196312,    2.94,    1.30,    1.48,    1.62,   -0.20,    1.51,    4.60,    1.37,    1.20,    1.76,    1.21,    1.97,    1.06,   -0.24,   -0.17
196401,    3.37,    1.73,    1.87,    2.82,   -1.04,    3.70,    2.91,    0.92,    2.34,    1.46,    2.49,    1.64,    4.04,   -0.57,   -1.41
196402,    1.33,    1.91,    1.88,    5.23,    1.93,    1.11,    1.92,    1.31,    2.86,    2.13,    1.50,    5.54,    4.69,    2.60,    1.40
196403,    1.16,    2.51,    2.34,    3.00,    1.59,    0.84,    1.69,    2.88,    1.71,    2.54,    2.04,    3.25,    2.71,    0.92,    2.26
196404,    1.33,   -0.45,   -0.42,   -2.39,   -1.30,    1.40,    1.17,   -0.99,    0.64,   -0.11,   -0.79,   -1.68,   -3.63,   -2.70,    0.12
196405,    1.72,    1.32,    0.82,    1.22,    4.02,    1.88,    1.12,    0.52,    2.45,    0.90,    0.70,    0.86,    1.68,    5.98,    1.77
196406,    1.62,    1.89,    1.93,    1.44,   -0.45,    1.80,    1.17,    1.80,    2.00,    2.32,    1.29,    1.42,    1.47,    0.59,   -1.66
196407,    1.98,    3.06,    1.30,    2.17,   -0.10,    1.61,    3.08,    2.74,    3.39,    1.93,    0.65,    1.41,    2.99,   -1.26,    1.44
196408,   -1.24,   -1.05,   -0.59,   -0.98,   -1.83,   -1.28,   -1.09,   -1.40,   -0.46,   -0.41,   -0.81,   -0.25,   -2.08,   -2.36,   -1.19
196409,    2.57,    2.16,    3.84,    5.62,    6.06,    2.58,    2.53,    1.58,    2.83,    3.14,    4.59,    5.56,    5.73,    6.70,    5.11
196410,    0.66,    1.60,    1.18,    1.86,   -1.19,    0.91,   -0.16,    1.92,    1.20,    1.38,    0.98,    2.46,    1.02,   -1.64,   -0.62
196411,    0.50,   -0.13,    0.83,    0.40,   -2.80,    0.46,    0.63,   -0.13,   -0.14,    1.04,    0.61,    2.26,   -2.06,   -2.87,   -2.71
196412,    0.78,   -0.13,    0.19,   -0.43,   -0.57,    1.03,   -0.05,    0.13,   -0.63,   -0.40,    0.81,   -0.50,   -0.33,    0.47,   -1.85
196501,    3.09,    4.49,    4.93,    3.92,    7.49,    2.03,    5.68,    4.45,    4.54,    4.50,    5.65,    3.16,    5.48,    4.95,    9.92
196502,   -0.53,    1.87,    2.25,    3.22,    4.78,   -0.86,    0.40,    1.46,    2.67,    2.46,    2.01,    3.31,    3.07,    5.21,    4.34
196503,   -1.17,   -0.98,   -0.65,   -0.84,    0.64,   -1.35,   -0.47,   -0.82,   -1.24,   -0.59,   -0.71,   -0.48,   -1.33,    0.96,    0.37
196504,    3.29,    2.65,    3.96,    5.83,    3.13,    3.78,    1.58,    1.92,    3.91,    3.34,    4.69,    5.94,    5.67,    2.84,    3.45
196505,   -0.50,    0.14,   -0.30,   -1.17,   -1.32,   -0.33,   -0.99,    0.59,   -0.26,   -0.05,   -0.56,   -0.48,   -2.19,   -0.09,   -2.35
196506,   -4.14,   -4.81,   -6.55,   -8.33,  -11.33,   -4.06,   -4.32,   -4.15,   -6.15,   -6.63,   -6.47,   -8.04,   -8.73,   -9.51,  -12.92
196507,    1.55,    1.10,    1.79,    2.93,    5.60,    1.59,    1.47,    0.73,    1.95,    0.86,    3.04,    3.49,    2.06,    7.82,    3.37
196508,    2.11,    3.15,    4.69,    6.09,    7.41,    1.63,    3.16,    2.96,    3.41,    4.73,    4.64,    6.63,    5.24,    7.91,    6.82
196509,    2.94,    2.73,    4.02,    4.22,    4.25,    3.22,    2.02,    2.50,    3.03,    3.88,    4.17,    3.96,    4.49,    4.96,    3.46
196510,    1.59,    2.69,    5.32,    5.82,    7.53,    1.55,    1.72,    2.21,    3.32,    4.99,    5.70,    5.57,    6.22,    6.95,    8.35
196511,   -1.41,   -0.02,    3.22,    4.80,    6.67,   -2.12,    0.69,   -0.69,    0.86,    2.77,    4.07,    3.07,    6.81,    3.37,   10.53
196512,    0.12,    2.23,    2.48,    4.54,    3.82,   -0.49,    1.45,    2.92,    1.44,    2.21,    2.75,    4.08,    5.02,    3.60,    4.09
196601,   -0.73,    1.55,    3.68,    6.20,    5.67,   -1.16,    0.33,    1.52,    1.59,    3.63,    3.74,    6.83,    5.33,    4.63,    7.04
196602,   -2.17,   -2.17,    1.76,    2.60,    5.66,   -2.82,   -0.82,   -2.36,   -1.90,    1.56,    2.07,    1.36,    3.90,    5.04,    6.32
196603,   -2.91,   -1.07,   -1.17,   -0.95,   -2.15,   -3.19,   -2.14,   -0.54,   -1.65,   -3.39,    1.98,    0.89,   -3.16,   -2.74,   -1.67
196604,    1.78,    1.23,    4.68,    4.18,    5.10,    1.66,    2.07,    1.22,    1.24,    4.10,    5.45,    2.69,    5.56,    3.81,    6.52
